station;latitude;longitude;nb_visiteurs;weight
gare du nord;48.8811535357;2.35791253463;49721477;0.134825880002539
saint lazare;48.8753759596;2.32580965408;45666162;0.123829396258452
garde de lyon;48.8448952791;2.37152874024;34971365;0.0948291431691577
montparnasse bienvenue;48.8418703363;2.321228374;31453903;0.0852911137673865
gare de lest;48.8760666877;2.35821026231;20018847;0.0542835576547973
republique;48.8016621345;2.29538997285;16670353;0.0452037056980017
bibliotheque;48.8287245279;2.37817471152;15866423;0.0430237509530845
chatelet;48.8581023044;2.3481783185;14118575;0.0382842468407936
la defense;48.8912519045;2.23838839147;13968642;0.0378776851317273
bastille;48.8528140129;2.36879653248;13187049;0.0357582999004957
les halles;48.8620119707;2.34647645191;12895661;0.0349681656186404
hotel de ville;48.906577136;2.44401660248;12778262;0.0346498238387608
opera;48.871188311;2.33210483526;12606068;0.0341828986993255
franklin roosvelt;48.869432749;2.30988512723;12582337;0.0341185491837562
place ditalie;48.8314984744;2.35467997588;12110645;0.0328394985032996
belleville;48.9458344501;2.34711898845;11650697;0.0315922931184835
nation;48.8482908701;2.39822210995;9879555;0.0267896244696931
strasbourg;48.8683382789;2.35386134295;9637816;0.0261341195375702
esplanade de la defense;48.8867755598;2.24891777585;9502985;0.0257685087527855
palais royal;48.8625785271;2.3360287312;9496063;0.0257497389012508